artist_popularity,followers,genres,id,name
23,379,['string quartet'],3kcXzgvW7UmkBKrRWNEJ8w,Miró Quartet
49,53047,"['bass trap', 'brostep', 'electronic trap']",4R0EwsTKt1LIFcdezmuezM,Grandtheft
31,477,[],15wwDN0ZICXvhJLfom0hCt,Hudson Lee
1,55,[],4ATsdgt2xenE0oh48AQWwv,Sole Vale
19,27,[],4IH1vlyor9lCE2EQVnHmj1,William Whitehead
28,1872,[],1CJIcvG0AwRBiclbftNcDp,La Perla
33,698,[],37ULlrn82hkuT8wp7rwyAX,Bryn Liedl
26,1578,['electronic trap'],3T1RyRHwjOH22Bl04uMffB,Thugli
20,815,[],6xDLMz9cVvkyG6n8BAV6Sm,Hooked On Cronic
21,88,[],78gx7Zd63vPFpidsfVDBRO,Joan Lippincott
8,171,[],2HLpaviaBKCfDaFcF3JnUG,Bozá
18,254,[],4LXaqntarVcHPpcLpRj8fr,Mellow Fields
0,1,[],5e0hjqvvs8KMGx3tE8h7Tf,KOREA TOWN ACID
9,24,[],2r6duYAtl7k4r7BrQLWz1h,OKAii
28,801,"['orchestra', 'radio symphony']",1b2X6owbUCm8QFq639DYFq,Polish Radio Symphony Orchestra
8,759,[],3a9Fm0ZCXy8dBNU7FKNRey,Milmarías
23,132,[],3j715uRkAjPRwIvUB7ruMC,Tamara Stefanovich
34,130,"['montreal indie', 'pop edm']",4jUscfWxMwNhbyKwDcm0hg,NUDØ
20,988,['classical organ'],0AFbebB7EpLm1qzqBRwyWt,Jehan Alain
21,118,[],3EGDTGoU2VeW0s3io8IbhC,Ann Crumb
7,145,[],51HuK7DmNemMubD5rl0lbX,Los Pangurbes y el Ciudeblo
25,34,[],2Lxz3aV3tZA4YVYYAqXPf8,Joël Bons
42,1212,[],1HllAiVOVAOKzwauzKp3bo,Mister Blonde
21,76,[],7uLvjFKAw1iwyrA3FrSkaa,Łukasz Borowicz
40,11010,"['brostep', 'electro house', 'electronic trap', 'zapstep']",4FoQJyBgyhdDCb1wdEgNZh,Hekler
21,48,[],1FpmlonaLgv3q4wuhJG2Lg,Yazzie
24,10,[],2JP7XJ7fJoSXjNksXctM5e,Atlas Ensemble
21,131,[],20V7LV9DwdkXUFFYNNlwK7,Nolan Koskinen
12,8,[],4RXRqpg2y3e3RW9k2DoaTe,James Freeman
52,77799,"['bass trap', 'brostep', 'complextro', 'edm', 'electro house', 'electronic trap', 'moombahton', 'zapstep']",5c3akKV3CUqAVOnGZqf4S3,Barely Alive
3,625,[],6EWhGfGg8V2yTlY8MU98FD,Gabriel Batz
42,1973,['orchestra'],5CHXXNuReinAFGk3pjWgOH,Melbourne Symphony Orchestra
12,101,[],23ZeV9sLvXEzB80mKSdhqb,Silkq
20,0,[],6WxTDr3eh88JEx91Lg3vv4,Roldán Bernabé
40,1948,[],5JD5mJBIRz9pisqHn7SM7W,Kotek
26,743,[],7CAHUqKOd4yi4hz9eTU6nH,Eren AB
17,4,[],5CCVtAWfKxsuiv5iEGHbQP,Taiji Takata
20,421,['classical piano'],750b4Am6C1drCvkmxlbEXv,Xiayin Wang
19,109,[],13iBt0NnvWlaE9R21EW3s6,Ensemble Jacques Moderne
44,11419,"['brostep', 'filthstep', 'zapstep']",6HQoKW0HOFSfkolUJIdWaB,Jphelpz
49,31182,"['dark trap', 'emo rap', 'underground hip hop']",6TeJpqb3PcvfHxjKAEKCNu,PRXJEK
22,0,[],1BEyKcixGeLyvFwGANJj8l,Carl Philipp Emanuel
12,102,[],7x2O9CfI0L5k5fOMAtvW35,Enso String Quartet
23,38,[],441CEOvGaT5vN1vYFjmqoR,Christina Naughton
51,21744,"['brostep', 'electro house', 'electronic trap', 'zapstep']",4zlw0jXUzd4dRcqI3Y1OiY,Boogie T
37,7543,"['bass house', 'electro house']",7tbMem2T4rnyYKXiUYJPCn,ANGELZ
33,41,[],4UoT0VXtSeFODwe7DR3y34,Pulcinella Orchestra
10,26,[],03mNwkOPahk1RQPvo0Atx0,Joanna Kurkowicz
25,24,[],0gSvZOOKP86zFSkFDEPDWQ,Louis-Noël Bestion de Camboulas
49,26800,"['brostep', 'electronic trap', 'zapstep']",3NJ94iuAmmMjbszODYT6pO,Subtronics
19,277,[],4wJ7gER76tRe6yTO87KySS,Rossy
33,650,[],50mnKnOEmIVxdz2mNoNOa5,Charles Richard-Hamelin
12,12,[],7l4Z3eVa2FGRIQMGaRBtcW,En Shao
26,0,[],2c7DYeJYKrfO53y45HlLSd,Léo margue
47,33409,"['brostep', 'electro house', 'electronic trap', 'filthstep', 'moombahton', 'zapstep']",31DUXycJt0YIBoMXLI5UdV,Trampa
16,28,[],4LqWBGZLvW0WNdcQA0Ta4W,Kiano
53,4116,"['classical performance', 'orchestra']",4AcXapei4U7xnWecv9AEBd,Orchestre Symphonique de Montréal
15,45,['american choir'],4owHMEP9uhInSylZs6jTpT,Seattle Symphony Chorale
22,25,[],7ECjPOD4JrRvEZBUMgbdrv,Anne Le Bozec
41,3767,[],2LKYdTjorWiwLF17VK5eI9,Konus
14,43,[],7gHP8csRF1CFaBUyx5yWK7,Below Bangkok
21,1,[],30ax2qx1DxFoNH85xYQCmz,Célia Oneto Bensaïd
46,18866,"['brostep', 'electro house', 'electronic trap', 'zapstep']",26RHyTSsP5JoS4udf8txU5,YOOKiE
19,3,[],7H9wAvoo5GMeoIu5UitEXH,Joséphine Ambroselli
47,50666,[],34LuaqC7oxlHjEyB925Qgz,NetNobody
19,14,[],7gmGVshHJu1Oh6EqwkbMa9,SWTKRMA
29,294,[],1OqEhSLpT0E2oRfRuE91aX,Maarten Engeltjes
51,13930,"['brostep', 'zapstep']",3TbFfHyWvQdppfL0TpWufG,INF1N1TE
26,1,[],7bccwQUcrZvBVJikmQOeEJ,Les Forces Majeures
